no,date_post,username,tweet,klasifikasi
1,2023-03-21 09:46:58 SE Asia Standard Time,asuransiku_id,@codingfess Mengikuti perkembangan dan memanfaatkan teknologinya. AI pasti bisa membantu dan membuat produksi Industri IT lebih cepat.,Positif
2,2023-03-20 21:30:21 SE Asia Standard Time,elimgo,Aku sih seneng dengan perkembangan AI ini. Mari perbudak mereka dan fokus ngapalin alquran dan hadis,Negatif
3,2023-03-20 16:56:12 SE Asia Standard Time,radzaq,"Senjakala HR (?)  Dunia saat ini semakin dihadapkan pada perubahan yang pesat dengan perkembangan teknologi. Seiring dengan adopsi teknologi AI atau kecerdasan buatan, beberapa orang mulai bertanya-tanya apakah HR akan tergantikan oleh AI dalam waktu dekat .. https://t.co/3nmAJbYIpx",Negatif
4,2023-03-20 16:48:09 SE Asia Standard Time,bisniscom,CEO OpenAI Sam Altman menyampaikan kekhawatirannya soal perkembangan AI yang makin pintar  https://t.co/DgUDUv32Cg,Negatif
5,2023-03-20 12:25:31 SE Asia Standard Time,usu_fess,"usu! Belakangan perkembangan Chatbot AI udh makin canggih, semisal Chatgpt bahkan skrg udh GPT4. Yg tentu bakal membantu buat proses belajar. Chatbot AI apa yg kalian pake buat mendukung proses belajar, mencari &amp; mengumpulkan informasi? Apa chatbot ini familiar dipakai  (cont..)",Positif
6,2023-03-20 12:22:27 SE Asia Standard Time,saham_fess,"Shm! Dgn maraknya perkembangan chatbot AI yg kian canggih, gimana chatbot AI tersebut bisa kita maksimalkan dalam kegiatan di dunia Trading/investasi saham/kripto? Chatbot ap yg pernah kalian pake untuk hal ini?",Netral
7,2023-03-20 11:27:06 SE Asia Standard Time,kampusinfo,"Wisuda Kampus Digital Bisnis UNM, Rektor Minta Wisudawan Manfaatkan Perkembangan AI  https://t.co/cml5v9bYuq  https://t.co/DlZWzvPkTD",Positif
8,2023-03-20 08:40:22 SE Asia Standard Time,13_udien,"@hyang_wisnu @kemkominfo @PlateJohnny Perkembangan Metaverse saat sekarang begitu luar biasa karena jika dilihat pada masa yang akan datang, teknologi tersebut salah satunya menggunakan kecerdasan buatan (artificial intelligence/AI), augmented reality (AR), dan virtual reality (VR). @kemkominfo @PlateJohnny",Positif
9,2023-03-20 00:31:58 SE Asia Standard Time,gabbiell_,Perkembangan terkini sudah nambah satu album ai  https://t.co/TmAJqSGCIz,error
10,2023-03-19 20:32:11 SE Asia Standard Time,sate_bekicot,Perkembangan metaverse akan sangat penting apalagi dengan adanya Artificial Intelegent (AI) yang kedepannya akan menjadi bagian penting dalam industri. @PlateJohnny  @kemkominfo  https://t.co/ECSMEyQyrD,Positif
